SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2013,1610612742,Dallas Mavericks,In The Paint (Non-RA),1230,525,0,1050
2018,1610612744,Golden State Warriors,In The Paint (Non-RA),920,413,0,826
2015,1610612743,Denver Nuggets,Mid-Range,1589,596,0,1192
2016,1610612744,Golden State Warriors,Mid-Range,1342,582,0,1164
2010,1610612738,Boston Celtics,Mid-Range,1756,731,0,1462
2010,1610612764,Washington Wizards,Right Corner 3,130,54,54,162
2004,1610612744,Golden State Warriors,Left Corner 3,145,53,53,159
2024,1610612749,Milwaukee Bucks,Left Corner 3,393,160,160,480
2010,1610612741,Chicago Bulls,In The Paint (Non-RA),795,353,0,706
2018,1610612754,Indiana Pacers,Above the Break 3,1529,545,545,1635
2006,1610612757,Portland Trail Blazers,Restricted Area,2057,1208,0,2416
2022,1610612750,Minnesota Timberwolves,Left Corner 3,451,187,187,561
2020,1610612755,Philadelphia 76ers,Restricted Area,1962,1277,0,2554
2019,1610612741,Chicago Bulls,Right Corner 3,201,84,84,252
2021,1610612760,Oklahoma City Thunder,Right Corner 3,215,78,78,234
2009,1610612762,Utah Jazz,Left Corner 3,104,46,46,138
2013,1610612755,Philadelphia 76ers,Mid-Range,2400,946,0,1892
2013,1610612747,Los Angeles Lakers,Right Corner 3,258,96,96,288
2006,1610612737,Atlanta Hawks,Restricted Area,2327,1346,0,2692
2012,1610612749,Milwaukee Bucks,Left Corner 3,138,43,43,129
2016,1610612763,Memphis Grizzlies,Mid-Range,1752,711,0,1422
2020,1610612739,Cleveland Cavaliers,Mid-Range,707,291,0,582
2018,1610612747,Los Angeles Lakers,Restricted Area,2657,1694,0,3388
2011,1610612737,Atlanta Hawks,In The Paint (Non-RA),1048,463,0,926
2007,1610612739,Cleveland Cavaliers,Backcourt,12,2,2,6
2018,1610612755,Philadelphia 76ers,In The Paint (Non-RA),1204,447,0,894
2015,1610612762,Utah Jazz,Mid-Range,1563,584,0,1168
2010,1610612744,Golden State Warriors,In The Paint (Non-RA),741,287,0,574
2017,1610612741,Chicago Bulls,Above the Break 3,1277,402,402,1206
2004,1610612744,Golden State Warriors,Above the Break 3,933,308,308,924
2013,1610612750,Minnesota Timberwolves,Left Corner 3,205,75,75,225
2023,1610612749,Milwaukee Bucks,Restricted Area,2057,1416,0,2832
2014,1610612761,Toronto Raptors,Restricted Area,1851,1124,0,2248
2014,1610612754,Indiana Pacers,In The Paint (Non-RA),1090,444,0,888
2006,1610612758,Sacramento Kings,Above the Break 3,1040,365,365,1095
2021,1610612761,Toronto Raptors,Above the Break 3,2149,784,784,2352
2012,1610612765,Detroit Pistons,Backcourt,14,0,0,0
2010,1610612743,Denver Nuggets,In The Paint (Non-RA),748,293,0,586
2020,1610612749,Milwaukee Bucks,Right Corner 3,303,113,113,339
2004,1610612750,Minnesota Timberwolves,Mid-Range,3231,1378,2,2758
2010,1610612747,Los Angeles Lakers,Backcourt,18,1,1,3
2005,1610612766,Charlotte Bobcats,Left Corner 3,140,51,51,153
2007,1610612754,Indiana Pacers,Mid-Range,2294,885,0,1770
2007,1610612760,Seattle SuperSonics,Restricted Area,2056,1252,0,2504
2015,1610612760,Oklahoma City Thunder,Mid-Range,1805,710,0,1420
2005,1610612757,Portland Trail Blazers,Right Corner 3,154,62,62,186
2009,1610612753,Orlando Magic,Left Corner 3,357,141,141,423
2019,1610612748,Miami Heat,Mid-Range,898,317,0,634
2011,1610612745,Houston Rockets,Above the Break 3,1388,499,499,1497
2004,1610612741,Chicago Bulls,Left Corner 3,178,56,56,168
2020,1610612761,Toronto Raptors,Backcourt,12,0,0,0
2011,1610612764,Washington Wizards,Backcourt,10,0,0,0
2006,1610612738,Boston Celtics,Backcourt,14,2,2,6
2021,1610612763,Memphis Grizzlies,Right Corner 3,246,86,86,258
2022,1610612755,Philadelphia 76ers,Above the Break 3,1897,680,680,2040
2023,1610612748,Miami Heat,Backcourt,8,0,0,0
2022,1610612740,New Orleans Pelicans,Backcourt,18,2,2,6
2021,1610612751,Brooklyn Nets,Right Corner 3,339,135,135,405
2008,1610612766,Charlotte Bobcats,Backcourt,6,0,0,0
2008,1610612766,Charlotte Bobcats,In The Paint (Non-RA),781,330,0,660
2008,1610612753,Orlando Magic,Mid-Range,1396,545,1,1091
2024,1610612751,Brooklyn Nets,Above the Break 3,2165,750,750,2250
2022,1610612761,Toronto Raptors,Backcourt,16,2,2,6
2022,1610612744,Golden State Warriors,Above the Break 3,2468,922,922,2766
2014,1610612741,Chicago Bulls,Restricted Area,2209,1245,0,2490
2015,1610612752,New York Knicks,In The Paint (Non-RA),881,334,0,668
2022,1610612740,New Orleans Pelicans,Mid-Range,1061,441,4,886
2014,1610612744,Golden State Warriors,Left Corner 3,286,119,119,357
2009,1610612738,Boston Celtics,Right Corner 3,179,87,86,260
2018,1610612764,Washington Wizards,Backcourt,16,0,0,0
2015,1610612737,Atlanta Hawks,Mid-Range,1438,605,0,1210
2021,1610612741,Chicago Bulls,Right Corner 3,248,99,99,297
2013,1610612761,Toronto Raptors,Right Corner 3,187,58,58,174
2008,1610612762,Utah Jazz,Restricted Area,2526,1608,0,3216
2011,1610612746,Los Angeles Clippers,Right Corner 3,230,68,68,204
2025,1610612744,Golden State Warriors,Backcourt,22,1,1,3
2016,1610612749,Milwaukee Bucks,Backcourt,13,0,0,0
2023,1610612764,Washington Wizards,Backcourt,16,2,2,6
2014,1610612764,Washington Wizards,In The Paint (Non-RA),909,337,0,674
2016,1610612748,Miami Heat,In The Paint (Non-RA),1139,453,0,906
2012,1610612751,New Jersey Nets,Right Corner 3,186,65,65,195
2025,1610612742,Dallas Mavericks,Mid-Range,813,334,0,668
2004,1610612749,Milwaukee Bucks,Backcourt,9,0,0,0
2014,1610612749,Milwaukee Bucks,Above the Break 3,1244,437,437,1311
2019,1610612766,Charlotte Hornets,Above the Break 3,2172,743,743,2229
2017,1610612764,Washington Wizards,Restricted Area,2321,1427,0,2854
2011,1610612766,Charlotte Bobcats,In The Paint (Non-RA),820,313,0,626
2020,1610612757,Portland Trail Blazers,Mid-Range,1195,519,1,1039
2004,1610612742,Dallas Mavericks,Restricted Area,2169,1335,0,2670
