SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2007,1610612752,New York Knicks,Backcourt,17,0,0,0
2020,1610612766,Charlotte Hornets,Left Corner 3,256,104,104,312
2016,1610612747,Los Angeles Lakers,Above the Break 3,1583,505,505,1515
2017,1610612749,Milwaukee Bucks,In The Paint (Non-RA),996,392,0,784
2005,1610612764,Washington Wizards,Left Corner 3,180,51,51,153
2016,1610612738,Boston Celtics,Restricted Area,2507,1509,0,3018
2019,1610612760,Oklahoma City Thunder,Above the Break 3,1930,658,658,1974
2015,1610612746,Los Angeles Clippers,Backcourt,10,0,0,0
2022,1610612756,Phoenix Suns,Backcourt,12,0,0,0
2022,1610612763,Memphis Grizzlies,Restricted Area,2378,1527,0,3054
2012,1610612747,Los Angeles Lakers,Right Corner 3,169,57,57,171
2016,1610612738,Boston Celtics,Left Corner 3,254,96,96,288
2007,1610612742,Dallas Mavericks,Above the Break 3,911,356,356,1068
2007,1610612759,San Antonio Spurs,Restricted Area,1956,1251,0,2502
2009,1610612746,Los Angeles Clippers,Right Corner 3,136,58,58,174
2020,1610612756,Phoenix Suns,Mid-Range,1039,433,1,867
2011,1610612764,Washington Wizards,Right Corner 3,144,55,54,164
2013,1610612740,New Orleans Hornets,Mid-Range,1724,680,0,1360
2020,1610612766,Charlotte Hornets,Restricted Area,1962,1162,0,2324
2012,1610612755,Philadelphia 76ers,Left Corner 3,107,33,33,99
2012,1610612744,Golden State Warriors,Restricted Area,1613,969,0,1938
2016,1610612751,Brooklyn Nets,Right Corner 3,228,92,92,276
2019,1610612756,Phoenix Suns,Mid-Range,1142,460,2,922
2011,1610612752,New York Knicks,Mid-Range,1743,700,0,1400
2024,1610612747,Los Angeles Lakers,Left Corner 3,379,151,151,453
2013,1610612751,Brooklyn Nets,In The Paint (Non-RA),1177,490,0,980
2009,1610612743,Denver Nuggets,Backcourt,18,1,1,3
2025,1610612753,Orlando Magic,Above the Break 3,2061,635,635,1905
2022,1610612752,New York Knicks,Restricted Area,2050,1270,0,2540
2018,1610612766,Charlotte Hornets,Backcourt,21,0,0,0
2005,1610612750,Minnesota Timberwolves,Restricted Area,1544,947,0,1894
2010,1610612738,Boston Celtics,Above the Break 3,1092,388,388,1164
2022,1610612759,San Antonio Spurs,Restricted Area,2168,1396,0,2792
2012,1610612744,Golden State Warriors,Left Corner 3,185,82,82,246
2005,1610612764,Washington Wizards,Restricted Area,2049,1281,1,2563
2009,1610612760,Oklahoma City Thunder,Right Corner 3,98,29,28,86
2017,1610612754,Indiana Pacers,Mid-Range,1925,795,0,1590
2019,1610612750,Minnesota Timberwolves,Mid-Range,1414,561,5,1127
2024,1610612761,Toronto Raptors,In The Paint (Non-RA),1550,639,0,1278
2016,1610612737,Atlanta Hawks,Mid-Range,1366,573,0,1146
2010,1610612740,New Orleans Hornets,In The Paint (Non-RA),925,416,0,832
2022,1610612744,Golden State Warriors,Restricted Area,1893,1326,0,2652
2019,1610612743,Denver Nuggets,In The Paint (Non-RA),1463,634,0,1268
2024,1610612737,Atlanta Hawks,Backcourt,15,0,0,0
2014,1610612751,Brooklyn Nets,Backcourt,20,0,0,0
2020,1610612765,Detroit Pistons,Right Corner 3,324,129,129,387
2004,1610612747,Los Angeles Lakers,Mid-Range,2295,859,0,1718
2005,1610612743,Denver Nuggets,Right Corner 3,149,58,58,174
2009,1610612741,Chicago Bulls,Left Corner 3,176,65,65,195
2008,1610612762,Utah Jazz,Above the Break 3,846,315,315,945
2009,1610612740,New Orleans Hornets,Restricted Area,1813,1104,0,2208
2018,1610612747,Los Angeles Lakers,Left Corner 3,222,85,85,255
2018,1610612755,Philadelphia 76ers,Backcourt,20,0,0,0
2012,1610612749,Milwaukee Bucks,Above the Break 3,926,315,315,945
2021,1610612765,Detroit Pistons,Right Corner 3,251,83,83,249
2004,1610612759,San Antonio Spurs,Backcourt,12,0,0,0
2017,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),979,423,0,846
2022,1610612744,Golden State Warriors,Left Corner 3,408,146,146,438
2021,1610612749,Milwaukee Bucks,In The Paint (Non-RA),1018,451,0,902
2018,1610612748,Miami Heat,Left Corner 3,300,109,109,327
2012,1610612752,New York Knicks,Restricted Area,1858,1148,0,2296
2010,1610612737,Atlanta Hawks,Right Corner 3,224,78,78,234
2015,1610612749,Milwaukee Bucks,Mid-Range,1920,782,0,1564
2019,1610612766,Charlotte Hornets,Left Corner 3,311,114,114,342
2012,1610612759,San Antonio Spurs,Restricted Area,1729,1107,0,2214
2022,1610612737,Atlanta Hawks,Right Corner 3,352,136,136,408
2021,1610612745,Houston Rockets,In The Paint (Non-RA),799,295,0,590
2009,1610612765,Detroit Pistons,Mid-Range,2913,1191,2,2384
2020,1610612748,Miami Heat,Right Corner 3,328,113,113,339
2024,1610612765,Detroit Pistons,Right Corner 3,378,154,154,462
2025,1610612739,Cleveland Cavaliers,Restricted Area,2069,1403,0,2806
2023,1610612755,Philadelphia 76ers,Left Corner 3,375,141,141,423
2023,1610612755,Philadelphia 76ers,Restricted Area,2088,1364,0,2728
2023,1610612748,Miami Heat,Right Corner 3,373,141,141,423
2024,1610612763,Memphis Grizzlies,Backcourt,21,0,0,0
2021,1610612748,Miami Heat,Right Corner 3,338,118,118,354
2008,1610612752,New York Knicks,Mid-Range,1913,758,0,1516
2012,1610612745,Houston Rockets,Left Corner 3,214,95,95,285
2017,1610612758,Sacramento Kings,In The Paint (Non-RA),1136,462,0,924
2007,1610612744,Golden State Warriors,Mid-Range,1695,642,1,1285
2008,1610612747,Los Angeles Lakers,In The Paint (Non-RA),810,345,0,690
2005,1610612755,Philadelphia 76ers,Restricted Area,2241,1299,0,2598
2009,1610612744,Golden State Warriors,Restricted Area,2405,1453,0,2906
2021,1610612766,Charlotte Hornets,Above the Break 3,2033,728,728,2184
2018,1610612761,Toronto Raptors,Restricted Area,2374,1542,0,3084
2015,1610612758,Sacramento Kings,Mid-Range,1741,700,0,1400
2009,1610612766,Charlotte Bobcats,Above the Break 3,913,333,333,999
2022,1610612753,Orlando Magic,Left Corner 3,393,160,160,480
2018,1610612750,Minnesota Timberwolves,Restricted Area,2108,1390,0,2780
2012,1610612752,New York Knicks,Backcourt,12,0,0,0
2004,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),1029,467,0,934
2025,1610612765,Detroit Pistons,Above the Break 3,2163,779,778,2336
2008,1610612765,Detroit Pistons,In The Paint (Non-RA),632,250,0,500
2013,1610612763,Memphis Grizzlies,Mid-Range,2052,817,0,1634
2009,1610612752,New York Knicks,Above the Break 3,1688,604,604,1812
2020,1610612760,Oklahoma City Thunder,Mid-Range,990,464,0,928
2011,1610612743,Denver Nuggets,Right Corner 3,198,90,90,270
2005,1610612754,Indiana Pacers,Right Corner 3,207,89,89,267
2005,1610612755,Philadelphia 76ers,Left Corner 3,216,91,91,273
2006,1610612760,Seattle SuperSonics,Right Corner 3,147,63,63,189
2006,1610612758,Sacramento Kings,In The Paint (Non-RA),752,320,0,640
2016,1610612748,Miami Heat,Restricted Area,2222,1451,0,2902
2014,1610612747,Los Angeles Lakers,Right Corner 3,243,100,100,300
2009,1610612762,Utah Jazz,In The Paint (Non-RA),696,268,0,536
2020,1610612765,Detroit Pistons,Mid-Range,542,214,2,430
2019,1610612746,LA Clippers,Mid-Range,1156,464,2,930
2006,1610612739,Cleveland Cavaliers,Restricted Area,2353,1424,0,2848
2018,1610612749,Milwaukee Bucks,Above the Break 3,1463,495,495,1485
2005,1610612762,Utah Jazz,Restricted Area,2179,1266,0,2532
2009,1610612760,Oklahoma City Thunder,Mid-Range,2535,934,0,1868
2021,1610612766,Charlotte Hornets,Left Corner 3,339,134,134,402
2007,1610612753,Orlando Magic,Left Corner 3,132,49,49,147
2022,1610612739,Cleveland Cavaliers,Restricted Area,2208,1473,0,2946
2018,1610612750,Minnesota Timberwolves,Left Corner 3,276,106,106,318
2016,1610612754,Indiana Pacers,Left Corner 3,315,120,120,360
2008,1610612747,Los Angeles Lakers,Backcourt,14,0,0,0
2015,1610612759,San Antonio Spurs,In The Paint (Non-RA),1198,533,0,1066
2009,1610612740,New Orleans Hornets,Backcourt,9,0,0,0
2014,1610612750,Minnesota Timberwolves,Backcourt,14,1,1,3
2013,1610612745,Houston Rockets,In The Paint (Non-RA),795,278,0,556
2010,1610612761,Toronto Raptors,In The Paint (Non-RA),839,369,0,738
2016,1610612758,Sacramento Kings,Left Corner 3,187,88,88,264
2005,1610612750,Minnesota Timberwolves,Backcourt,13,0,0,0
2013,1610612759,San Antonio Spurs,In The Paint (Non-RA),978,410,0,820
2018,1610612746,LA Clippers,Above the Break 3,1677,604,604,1812
2009,1610612752,New York Knicks,Restricted Area,2521,1448,1,2897
2010,1610612748,Miami Heat,Mid-Range,2464,974,0,1948
2014,1610612762,Utah Jazz,Restricted Area,2106,1305,0,2610
2020,1610612740,New Orleans Pelicans,In The Paint (Non-RA),885,332,0,664
2009,1610612744,Golden State Warriors,Left Corner 3,183,73,73,219
2006,1610612745,Houston Rockets,Right Corner 3,199,80,80,240
2025,1610612765,Detroit Pistons,Left Corner 3,320,121,121,363
2009,1610612752,New York Knicks,Left Corner 3,351,126,126,378
2006,1610612747,Los Angeles Lakers,Backcourt,13,0,0,0
2017,1610612765,Detroit Pistons,Backcourt,30,1,1,3
2024,1610612763,Memphis Grizzlies,In The Paint (Non-RA),1526,622,0,1244
2015,1610612765,Detroit Pistons,In The Paint (Non-RA),1186,416,0,832
2013,1610612765,Detroit Pistons,Right Corner 3,187,64,63,191
2019,1610612749,Milwaukee Bucks,Backcourt,8,0,0,0
2011,1610612761,Toronto Raptors,Restricted Area,2418,1461,0,2922
2019,1610612743,Denver Nuggets,Restricted Area,2377,1504,0,3008
2021,1610612755,Philadelphia 76ers,Right Corner 3,326,152,152,456
2017,1610612764,Washington Wizards,Backcourt,10,0,0,0
2021,1610612753,Orlando Magic,Restricted Area,1616,985,0,1970
2025,1610612760,Oklahoma City Thunder,Right Corner 3,316,129,129,387
2022,1610612765,Detroit Pistons,Backcourt,20,0,0,0
2024,1610612749,Milwaukee Bucks,Right Corner 3,438,182,182,546
2004,1610612740,New Orleans Hornets,In The Paint (Non-RA),797,294,0,588
2015,1610612766,Charlotte Hornets,In The Paint (Non-RA),1050,408,0,816
2018,1610612751,Brooklyn Nets,In The Paint (Non-RA),1195,454,0,908
2016,1610612763,Memphis Grizzlies,Above the Break 3,1075,364,364,1092
2007,1610612745,Houston Rockets,Right Corner 3,233,95,95,285
2007,1610612751,New Jersey Nets,Backcourt,11,0,0,0
2021,1610612764,Washington Wizards,Restricted Area,1766,1178,0,2356
2007,1610612765,Detroit Pistons,Restricted Area,1941,1154,0,2308
2007,1610612755,Philadelphia 76ers,Restricted Area,2132,1295,0,2590
2022,1610612762,Utah Jazz,Restricted Area,1881,1303,0,2606
2006,1610612744,Golden State Warriors,Above the Break 3,1303,434,434,1302
2008,1610612747,Los Angeles Lakers,Restricted Area,2313,1449,0,2898
2024,1610612764,Washington Wizards,Right Corner 3,329,129,129,387
2015,1610612762,Utah Jazz,Above the Break 3,1261,421,421,1263
2007,1610612741,Chicago Bulls,Right Corner 3,130,58,57,173
2015,1610612749,Milwaukee Bucks,Left Corner 3,269,100,100,300
2004,1610612751,New Jersey Nets,Above the Break 3,885,284,284,852
2016,1610612746,LA Clippers,Mid-Range,1913,799,0,1598
2015,1610612754,Indiana Pacers,Restricted Area,1890,1090,0,2180
2017,1610612737,Atlanta Hawks,Right Corner 3,273,113,113,339
2008,1610612756,Phoenix Suns,Backcourt,5,0,0,0
2025,1610612738,Boston Celtics,Right Corner 3,390,159,159,477
2016,1610612755,Philadelphia 76ers,Backcourt,14,1,1,3
2025,1610612752,New York Knicks,Mid-Range,837,368,0,736
2014,1610612739,Cleveland Cavaliers,In The Paint (Non-RA),1113,452,0,904
2024,1610612764,Washington Wizards,Mid-Range,690,260,0,520
2024,1610612745,Houston Rockets,In The Paint (Non-RA),1376,572,0,1144
2004,1610612749,Milwaukee Bucks,Mid-Range,2313,888,0,1776
2006,1610612750,Minnesota Timberwolves,Right Corner 3,87,33,32,98
2025,1610612759,San Antonio Spurs,Above the Break 3,2382,826,826,2478
2015,1610612764,Washington Wizards,Mid-Range,2371,941,0,1882
2009,1610612765,Detroit Pistons,Restricted Area,1892,1110,0,2220
2013,1610612744,Golden State Warriors,Right Corner 3,187,91,91,273
2013,1610612762,Utah Jazz,Backcourt,16,0,0,0
2014,1610612740,New Orleans Pelicans,Right Corner 3,158,60,60,180
2011,1610612752,New York Knicks,Left Corner 3,324,143,143,429
2022,1610612750,Minnesota Timberwolves,Backcourt,18,0,0,0
2024,1610612754,Indiana Pacers,Left Corner 3,332,131,131,393
2023,1610612764,Washington Wizards,Mid-Range,984,435,4,874
2017,1610612742,Dallas Mavericks,Backcourt,17,0,0,0
2019,1610612756,Phoenix Suns,Left Corner 3,293,100,100,300
2004,1610612758,Sacramento Kings,Right Corner 3,214,93,93,279
2004,1610612744,Golden State Warriors,Backcourt,17,1,1,3
2010,1610612762,Utah Jazz,Left Corner 3,153,74,74,222
2022,1610612761,Toronto Raptors,Mid-Range,1115,427,5,859
2009,1610612765,Detroit Pistons,Left Corner 3,262,108,108,324
2018,1610612764,Washington Wizards,Mid-Range,1737,728,0,1456
2009,1610612748,Miami Heat,Backcourt,22,0,0,0
2018,1610612765,Detroit Pistons,In The Paint (Non-RA),1326,470,0,940
2023,1610612742,Dallas Mavericks,Backcourt,25,1,1,3
2008,1610612759,San Antonio Spurs,Right Corner 3,334,138,138,414
2015,1610612738,Boston Celtics,Mid-Range,1995,820,0,1640
2006,1610612743,Denver Nuggets,Backcourt,20,1,1,3
2022,1610612740,New Orleans Pelicans,Above the Break 3,1945,626,626,1878
2022,1610612746,LA Clippers,Right Corner 3,326,136,136,408
2011,1610612752,New York Knicks,Restricted Area,2115,1321,0,2642
2025,1610612745,Houston Rockets,Left Corner 3,287,106,106,318
2008,1610612741,Chicago Bulls,Right Corner 3,128,48,48,144
2010,1610612748,Miami Heat,In The Paint (Non-RA),795,349,0,698
2020,1610612764,Washington Wizards,Mid-Range,1215,483,0,966
2016,1610612761,Toronto Raptors,Above the Break 3,1318,472,472,1416
2021,1610612746,LA Clippers,Backcourt,12,0,0,0
2015,1610612761,Toronto Raptors,Restricted Area,2011,1247,0,2494
2012,1610612740,New Orleans Hornets,Mid-Range,1790,714,0,1428
2004,1610612752,New York Knicks,Backcourt,12,0,0,0
2014,1610612744,Golden State Warriors,Restricted Area,2089,1295,0,2590
2025,1610612745,Houston Rockets,Restricted Area,2226,1444,0,2888
2011,1610612751,New Jersey Nets,Backcourt,18,1,1,3
2005,1610612753,Orlando Magic,Backcourt,7,0,0,0
2005,1610612755,Philadelphia 76ers,In The Paint (Non-RA),862,337,0,674
2023,1610612749,Milwaukee Bucks,Backcourt,11,0,0,0
2011,1610612760,Oklahoma City Thunder,Mid-Range,2103,828,0,1656
2021,1610612751,Brooklyn Nets,Above the Break 3,2001,779,779,2337
2025,1610612763,Memphis Grizzlies,Mid-Range,504,231,1,463
2007,1610612740,New Orleans/Oklahoma City Hornets,Backcourt,8,0,0,0
2021,1610612742,Dallas Mavericks,Backcourt,14,1,1,3
2021,1610612750,Minnesota Timberwolves,Mid-Range,619,220,7,447
2024,1610612750,Minnesota Timberwolves,Above the Break 3,1878,715,715,2145
2021,1610612754,Indiana Pacers,Left Corner 3,283,118,118,354
2024,1610612766,Charlotte Hornets,Right Corner 3,285,108,108,324
2016,1610612759,San Antonio Spurs,Right Corner 3,229,91,91,273
2012,1610612757,Portland Trail Blazers,Mid-Range,1618,639,0,1278
2019,1610612748,Miami Heat,Above the Break 3,1910,653,653,1959
2005,1610612744,Golden State Warriors,Left Corner 3,253,102,102,306
2020,1610612738,Boston Celtics,Backcourt,22,0,0,0
2019,1610612741,Chicago Bulls,In The Paint (Non-RA),1394,579,0,1158
2012,1610612749,Milwaukee Bucks,Right Corner 3,186,72,72,216
2014,1610612745,Houston Rockets,Mid-Range,728,251,0,502
2024,1610612754,Indiana Pacers,Right Corner 3,380,160,160,480
2016,1610612747,Los Angeles Lakers,Backcourt,20,0,0,0
2013,1610612737,Atlanta Hawks,Above the Break 3,1368,487,487,1461
2013,1610612752,New York Knicks,In The Paint (Non-RA),491,171,0,342
2013,1610612763,Memphis Grizzlies,In The Paint (Non-RA),1242,488,0,976
2016,1610612743,Denver Nuggets,In The Paint (Non-RA),923,354,0,708
2019,1610612745,Houston Rockets,Restricted Area,2166,1381,0,2762
2010,1610612750,Minnesota Timberwolves,Left Corner 3,125,42,42,126
2018,1610612756,Phoenix Suns,In The Paint (Non-RA),1113,420,0,840
2007,1610612738,Boston Celtics,Left Corner 3,196,88,88,264
2023,1610612751,Brooklyn Nets,Mid-Range,1118,547,1,1095
2007,1610612758,Sacramento Kings,Backcourt,4,0,0,0
2009,1610612761,Toronto Raptors,In The Paint (Non-RA),830,339,0,678
2020,1610612753,Orlando Magic,Mid-Range,1089,407,1,815
2005,1610612743,Denver Nuggets,Above the Break 3,627,204,204,612
2015,1610612760,Oklahoma City Thunder,Restricted Area,2386,1407,0,2814
2013,1610612753,Orlando Magic,Mid-Range,2092,797,0,1594
2018,1610612753,Orlando Magic,Above the Break 3,1938,678,678,2034
2004,1610612756,Phoenix Suns,Mid-Range,2195,803,0,1606
2004,1610612739,Cleveland Cavaliers,Right Corner 3,127,44,44,132
2016,1610612761,Toronto Raptors,In The Paint (Non-RA),1094,449,0,898
2007,1610612760,Seattle SuperSonics,Backcourt,14,0,0,0
2015,1610612742,Dallas Mavericks,Right Corner 3,227,87,87,261
2014,1610612766,Charlotte Bobcats,Above the Break 3,1137,398,398,1194
2005,1610612741,Chicago Bulls,Left Corner 3,167,64,64,192
2014,1610612739,Cleveland Cavaliers,Mid-Range,2138,842,0,1684
2013,1610612759,San Antonio Spurs,Above the Break 3,1117,402,402,1206
2004,1610612745,Houston Rockets,Above the Break 3,927,339,339,1017
2005,1610612746,Los Angeles Clippers,Above the Break 3,450,147,147,441
2022,1610612765,Detroit Pistons,Restricted Area,2287,1393,0,2786
2021,1610612764,Washington Wizards,Left Corner 3,285,103,103,309
2009,1610612764,Washington Wizards,In The Paint (Non-RA),874,341,0,682
2013,1610612739,Cleveland Cavaliers,Restricted Area,2211,1238,0,2476
2014,1610612764,Washington Wizards,Mid-Range,2199,838,0,1676
2011,1610612758,Sacramento Kings,In The Paint (Non-RA),1189,425,0,850
2008,1610612756,Phoenix Suns,Right Corner 3,282,116,116,348
2007,1610612764,Washington Wizards,Mid-Range,2313,912,0,1824
2015,1610612751,Brooklyn Nets,Right Corner 3,216,77,77,231
2014,1610612753,Orlando Magic,In The Paint (Non-RA),950,360,0,720
2013,1610612750,Minnesota Timberwolves,Restricted Area,2406,1421,0,2842
2013,1610612738,Boston Celtics,Restricted Area,2035,1215,0,2430
2015,1610612750,Minnesota Timberwolves,Right Corner 3,105,39,39,117
2022,1610612762,Utah Jazz,Left Corner 3,377,135,135,405
2019,1610612746,LA Clippers,Right Corner 3,199,86,86,258
2018,1610612738,Boston Celtics,Mid-Range,1346,572,2,1146
2021,1610612761,Toronto Raptors,Restricted Area,1893,1181,0,2362
2017,1610612758,Sacramento Kings,Above the Break 3,1458,534,534,1602
2025,1610612758,Sacramento Kings,Above the Break 3,2174,754,754,2262
2024,1610612749,Milwaukee Bucks,Restricted Area,2084,1475,0,2950
2004,1610612746,Los Angeles Clippers,Right Corner 3,74,22,21,65
2005,1610612740,New Orleans Hornets,Right Corner 3,155,51,51,153
2014,1610612752,New York Knicks,Left Corner 3,249,94,94,282
2010,1610612761,Toronto Raptors,Left Corner 3,179,82,82,246
2023,1610612749,Milwaukee Bucks,Right Corner 3,402,153,153,459
2011,1610612748,Miami Heat,Above the Break 3,970,330,330,990
2007,1610612746,Los Angeles Clippers,Above the Break 3,715,247,246,740
2015,1610612761,Toronto Raptors,Left Corner 3,330,134,134,402
2016,1610612755,Philadelphia 76ers,Right Corner 3,274,99,99,297
2015,1610612747,Los Angeles Lakers,Above the Break 3,1248,417,417,1251
2014,1610612750,Minnesota Timberwolves,Above the Break 3,1340,465,465,1395
2020,1610612757,Portland Trail Blazers,Left Corner 3,226,97,97,291
2006,1610612757,Portland Trail Blazers,Right Corner 3,129,46,46,138
2006,1610612758,Sacramento Kings,Restricted Area,1888,1176,0,2352
2018,1610612745,Houston Rockets,In The Paint (Non-RA),667,251,0,502
2006,1610612737,Atlanta Hawks,Backcourt,11,0,0,0
2014,1610612754,Indiana Pacers,Right Corner 3,212,87,87,261
2014,1610612763,Memphis Grizzlies,Left Corner 3,164,56,56,168
2019,1610612755,Philadelphia 76ers,Above the Break 3,1991,711,711,2133
2015,1610612748,Miami Heat,Above the Break 3,1100,353,353,1059
2014,1610612751,Brooklyn Nets,Above the Break 3,1421,518,518,1554
2020,1610612739,Cleveland Cavaliers,Restricted Area,1889,1147,0,2294
2022,1610612756,Phoenix Suns,Above the Break 3,1885,669,669,2007
2006,1610612766,Charlotte Bobcats,Above the Break 3,832,259,259,777
2018,1610612754,Indiana Pacers,Restricted Area,2262,1407,0,2814
2007,1610612755,Philadelphia 76ers,Above the Break 3,619,208,208,624
2010,1610612752,New York Knicks,Mid-Range,1847,735,0,1470
2022,1610612759,San Antonio Spurs,Mid-Range,1070,440,4,884
2012,1610612755,Philadelphia 76ers,Above the Break 3,755,282,282,846
2025,1610612752,New York Knicks,Backcourt,18,0,0,0
2010,1610612754,Indiana Pacers,Backcourt,11,0,0,0
2021,1610612765,Detroit Pistons,Mid-Range,646,245,1,491
2009,1610612753,Orlando Magic,Restricted Area,1865,1155,0,2310
2010,1610612763,Memphis Grizzlies,Mid-Range,1996,774,0,1548
2009,1610612754,Indiana Pacers,In The Paint (Non-RA),917,383,0,766
2018,1610612759,San Antonio Spurs,Above the Break 3,1482,503,503,1509
2018,1610612760,Oklahoma City Thunder,Left Corner 3,283,105,105,315
2023,1610612738,Boston Celtics,Restricted Area,1963,1352,0,2704
2023,1610612756,Phoenix Suns,In The Paint (Non-RA),1718,768,0,1536
2014,1610612737,Atlanta Hawks,In The Paint (Non-RA),1083,447,0,894
2006,1610612766,Charlotte Bobcats,Restricted Area,2306,1295,0,2590
2011,1610612745,Houston Rockets,In The Paint (Non-RA),1214,465,0,930
2024,1610612739,Cleveland Cavaliers,Mid-Range,569,263,0,526
2010,1610612759,San Antonio Spurs,Backcourt,11,0,0,0
2014,1610612752,New York Knicks,Restricted Area,1890,1128,0,2256
2013,1610612755,Philadelphia 76ers,Above the Break 3,978,348,348,1044
2024,1610612743,Denver Nuggets,In The Paint (Non-RA),1368,667,0,1334
2013,1610612758,Sacramento Kings,Right Corner 3,248,97,97,291
2006,1610612747,Los Angeles Lakers,Above the Break 3,1260,434,433,1301
2020,1610612760,Oklahoma City Thunder,Backcourt,19,1,1,3
2013,1610612747,Los Angeles Lakers,Backcourt,19,0,0,0
2008,1610612738,Boston Celtics,Restricted Area,2154,1293,0,2586
2011,1610612744,Golden State Warriors,Restricted Area,2216,1389,0,2778
2007,1610612762,Utah Jazz,Above the Break 3,868,303,303,909
2009,1610612755,Philadelphia 76ers,Right Corner 3,117,45,45,135
2020,1610612739,Cleveland Cavaliers,Above the Break 3,1638,558,558,1674
2010,1610612764,Washington Wizards,Backcourt,14,0,0,0
2012,1610612746,Los Angeles Clippers,Mid-Range,1621,633,0,1266
2012,1610612740,New Orleans Hornets,Restricted Area,1613,943,0,1886
2020,1610612739,Cleveland Cavaliers,Left Corner 3,226,89,89,267
2013,1610612766,Charlotte Bobcats,Backcourt,15,0,0,0
2007,1610612766,Charlotte Bobcats,In The Paint (Non-RA),812,304,0,608
2018,1610612758,Sacramento Kings,Right Corner 3,179,81,81,243
2016,1610612763,Memphis Grizzlies,Left Corner 3,221,76,76,228
2020,1610612749,Milwaukee Bucks,Backcourt,9,0,0,0
2025,1610612751,Brooklyn Nets,Above the Break 3,2323,802,802,2406
2023,1610612737,Atlanta Hawks,Right Corner 3,308,114,114,342
2019,1610612746,LA Clippers,Backcourt,16,0,0,0
2008,1610612756,Phoenix Suns,In The Paint (Non-RA),857,392,0,784
2013,1610612750,Minnesota Timberwolves,Right Corner 3,141,48,48,144
2012,1610612761,Toronto Raptors,Backcourt,12,0,0,0
2012,1610612738,Boston Celtics,Right Corner 3,138,62,62,186
2007,1610612762,Utah Jazz,Left Corner 3,88,28,28,84
2010,1610612738,Boston Celtics,Left Corner 3,186,58,58,174
2021,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),1168,471,0,942
2019,1610612746,LA Clippers,In The Paint (Non-RA),1363,558,0,1116
2025,1610612751,Brooklyn Nets,Left Corner 3,434,145,145,435
2025,1610612740,New Orleans Pelicans,Backcourt,6,0,0,0
2009,1610612761,Toronto Raptors,Right Corner 3,190,81,81,243
2015,1610612762,Utah Jazz,Left Corner 3,237,94,94,282
2013,1610612757,Portland Trail Blazers,Mid-Range,1989,803,0,1606
2018,1610612737,Atlanta Hawks,Mid-Range,1298,523,3,1049
2004,1610612762,Utah Jazz,Mid-Range,2508,968,1,1937
2025,1610612750,Minnesota Timberwolves,Mid-Range,523,196,0,392
2020,1610612740,New Orleans Pelicans,Left Corner 3,340,127,127,381
2017,1610612758,Sacramento Kings,Restricted Area,2120,1302,0,2604
2011,1610612749,Milwaukee Bucks,Mid-Range,2215,867,0,1734
2008,1610612756,Phoenix Suns,Restricted Area,2148,1431,1,2863
2008,1610612765,Detroit Pistons,Left Corner 3,195,63,63,189
2021,1610612763,Memphis Grizzlies,Backcourt,4,0,0,0
2020,1610612762,Utah Jazz,In The Paint (Non-RA),1194,483,0,966
2023,1610612738,Boston Celtics,Above the Break 3,2657,981,981,2943
2025,1610612763,Memphis Grizzlies,Right Corner 3,350,130,130,390
2022,1610612755,Philadelphia 76ers,Restricted Area,1950,1293,0,2586
2015,1610612739,Cleveland Cavaliers,Above the Break 3,1585,580,580,1740
2006,1610612740,New Orleans/Oklahoma City Hornets,In The Paint (Non-RA),885,330,0,660
2024,1610612749,Milwaukee Bucks,In The Paint (Non-RA),1072,459,0,918
2022,1610612738,Boston Celtics,Above the Break 3,2292,791,790,2372
2010,1610612755,Philadelphia 76ers,Mid-Range,2229,902,0,1804
2020,1610612743,Denver Nuggets,Left Corner 3,271,111,111,333
2021,1610612752,New York Knicks,Above the Break 3,1512,570,570,1710
2020,1610612746,LA Clippers,Restricted Area,2007,1277,0,2554
2018,1610612737,Atlanta Hawks,Backcourt,22,0,0,0
2011,1610612760,Oklahoma City Thunder,Left Corner 3,142,54,54,162
2014,1610612746,Los Angeles Clippers,Left Corner 3,297,111,111,333
2013,1610612740,New Orleans Hornets,Restricted Area,2273,1312,0,2624
2019,1610612764,Washington Wizards,Left Corner 3,303,97,97,291
2018,1610612754,Indiana Pacers,In The Paint (Non-RA),1001,426,0,852
2004,1610612748,Miami Heat,In The Paint (Non-RA),869,334,0,668
2005,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),955,410,0,820
2015,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),1063,435,0,870
2011,1610612738,Boston Celtics,Above the Break 3,812,269,269,807
2011,1610612753,Orlando Magic,Left Corner 3,285,109,109,327
2021,1610612761,Toronto Raptors,In The Paint (Non-RA),1012,390,0,780
2009,1610612740,New Orleans Hornets,Right Corner 3,257,101,101,303
2013,1610612742,Dallas Mavericks,Mid-Range,2167,914,0,1828
2013,1610612740,New Orleans Hornets,Left Corner 3,126,46,46,138
2012,1610612752,New York Knicks,Right Corner 3,183,67,67,201
2024,1610612737,Atlanta Hawks,Right Corner 3,386,156,156,468
2020,1610612737,Atlanta Hawks,Left Corner 3,245,90,90,270
