SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2010,1610612737,Atlanta Hawks,6799,3181,524,6886,1.0127959994116782,0.5063979997058391
2024,1610612738,Boston Celtics,7396,3601,1351,8553,1.1564359113034073,0.57821795565170364
2018,1610612762,Utah Jazz,6797,3139,887,7165,1.0541415330292776,0.5270707665146388
2018,1610612755,Philadelphia 76ers,7098,3349,901,7599,1.0705832628909553,0.53529163144547764
2005,1610612753,Orlando Magic,6679,3034,320,6388,0.95643060338374009,0.47821530169187004
2012,1610612742,Dallas Mavericks,5412,2398,497,5293,0.9780118255728012,0.4890059127864006
2011,1610612756,Phoenix Suns,6844,3219,701,7139,1.0431034482758621,0.52155172413793105
2012,1610612743,Denver Nuggets,5403,2572,435,5579,1.0325744956505645,0.51628724782528224
2024,1610612757,Portland Trail Blazers,7356,3227,939,7393,1.0050299075584557,0.50251495377922784
2016,1610612737,Atlanta Hawks,6920,3166,813,7145,1.0325144508670521,0.51625722543352603
2005,1610612765,Detroit Pistons,6421,2851,363,6065,0.94455692259772617,0.47227846129886308
2008,1610612744,Golden State Warriors,7406,3403,761,7567,1.0217391304347827,0.51086956521739135
2014,1610612745,Houston Rockets,6599,3114,775,7003,1.0612213971813911,0.53061069859069554
2020,1610612762,Utah Jazz,6130,2886,963,6735,1.098694942903752,0.54934747145187601
2005,1610612742,Dallas Mavericks,6691,3058,463,6579,0.98326109699596476,0.49163054849798238
2011,1610612739,Cleveland Cavaliers,6647,2886,509,6281,0.94493756581916655,0.47246878290958327
2014,1610612763,Memphis Grizzlies,6723,3122,405,6649,0.98899300907333032,0.49449650453666516
2010,1610612763,Memphis Grizzlies,6875,3223,344,6790,0.98763636363636365,0.49381818181818182
2020,1610612756,Phoenix Suns,6429,3006,831,6843,1.0643957069528698,0.53219785347643489
2011,1610612766,Charlotte Bobcats,6364,2873,393,6139,0.96464487743557514,0.48232243871778757
2024,1610612749,Milwaukee Bucks,7258,3538,1163,8239,1.1351612014329016,0.56758060071645078
2008,1610612742,Dallas Mavericks,6515,3025,494,6544,1.0044512663085188,0.50222563315425939
2020,1610612741,Chicago Bulls,5762,2573,793,5939,1.0307185005206525,0.51535925026032625
2018,1610612764,Washington Wizards,7018,3275,814,7364,1.0493017953833002,0.52465089769165008
2013,1610612745,Houston Rockets,6781,3124,867,7115,1.0492552720837633,0.52462763604188167
2007,1610612747,Los Angeles Lakers,6664,3103,608,6814,1.0225090036014406,0.5112545018007203
2023,1610612757,Portland Trail Blazers,7001,3317,1056,7690,1.098414512212541,0.54920725610627052
2009,1610612747,Los Angeles Lakers,6978,3305,545,7155,1.0253654342218401,0.51268271711092006
2021,1610612758,Sacramento Kings,6382,3067,874,7008,1.0980883735506111,0.54904418677530553
2009,1610612760,Oklahoma City Thunder,6715,2999,328,6326,0.9420699925539836,0.4710349962769918
2009,1610612740,New Orleans Hornets,6364,2910,555,6375,1.0017284726587052,0.50086423632935262
2013,1610612752,New York Knicks,6689,2996,891,6883,1.0290028404843774,0.5145014202421887
2008,1610612761,Toronto Raptors,6726,3148,572,6868,1.0211121022896223,0.51055605114481117
2006,1610612757,Portland Trail Blazers,6267,2791,364,5946,0.94877932024892297,0.47438966012446149
2008,1610612749,Milwaukee Bucks,6745,3026,452,6504,0.96426982950333584,0.48213491475166792
2021,1610612764,Washington Wizards,6547,3108,733,6949,1.0614021689323354,0.53070108446616771
2017,1610612745,Houston Rockets,7145,3302,1178,7782,1.0891532540237929,0.54457662701189646
2011,1610612747,Los Angeles Lakers,6755,3126,522,6774,1.0028127313101407,0.50140636565507035
2023,1610612756,Phoenix Suns,7388,3453,1001,7907,1.0702490525175961,0.53512452625879803
2006,1610612760,Seattle SuperSonics,6711,3077,605,6759,1.0071524362986142,0.50357621814930709
2015,1610612759,San Antonio Spurs,6852,3208,677,7093,1.035172212492703,0.51758610624635149
2012,1610612751,New Jersey Nets,5320,2262,507,5031,0.94567669172932334,0.47283834586466167
2018,1610612760,Oklahoma City Thunder,7221,3271,881,7423,1.0279739648248165,0.51398698241240826
2024,1610612753,Orlando Magic,6964,3318,903,7539,1.0825674899483055,0.54128374497415277
2009,1610612758,Sacramento Kings,6684,2990,586,6566,0.98234590065828842,0.49117295032914421
2022,1610612742,Dallas Mavericks,6982,3222,1073,7517,1.0766256087081065,0.53831280435405326
2020,1610612745,Houston Rockets,6512,2936,1126,6998,1.0746314496314497,0.53731572481572487
2005,1610612755,Philadelphia 76ers,6736,2946,505,6397,0.94967339667458428,0.47483669833729214
2009,1610612738,Boston Celtics,6333,3075,538,6688,1.0560555818727302,0.52802779093636509
2008,1610612753,Orlando Magic,6446,3058,801,6917,1.0730685696556004,0.53653428482780019
2006,1610612754,Indiana Pacers,6274,2786,536,6108,0.97354160025502068,0.48677080012751034
2010,1610612751,New Jersey Nets,6554,2813,377,6003,0.91592920353982299,0.45796460176991149
2013,1610612742,Dallas Mavericks,6892,3182,606,6970,1.0113174695298897,0.50565873476494483
2008,1610612760,Seattle SuperSonics,7032,3125,313,6563,0.93330489192263932,0.46665244596131966
2015,1610612737,Atlanta Hawks,6699,3121,818,7060,1.0538886400955367,0.52694432004776837
2023,1610612765,Detroit Pistons,7140,3244,934,7422,1.0394957983193278,0.51974789915966391
2008,1610612754,Indiana Pacers,6993,3102,755,6959,0.99513799513799517,0.49756899756899758
2021,1610612747,Los Angeles Lakers,6197,2925,796,6646,1.0724544134258511,0.53622720671292556
2019,1610612763,Memphis Grizzlies,6924,3113,811,7037,1.01632004621606,0.50816002310802999
2011,1610612764,Washington Wizards,6888,3048,392,6488,0.94192799070847855,0.47096399535423927
2006,1610612756,Phoenix Suns,7167,3430,837,7697,1.0739500488349378,0.53697502441746892
2021,1610612757,Portland Trail Blazers,6558,2973,1132,7078,1.0792924672156146,0.53964623360780728
2011,1610612748,Miami Heat,6299,3030,546,6606,1.048737894903953,0.52436894745197649
2006,1610612747,Los Angeles Lakers,6607,2992,552,6536,0.98925382170425302,0.49462691085212651
2019,1610612737,Atlanta Hawks,7524,3392,1067,7851,1.0434609250398723,0.52173046251993616
2017,1610612763,Memphis Grizzlies,6850,2982,765,6729,0.98233576642335763,0.49116788321167881
2022,1610612749,Milwaukee Bucks,7331,3429,1153,8011,1.0927567862501706,0.54637839312508529
2021,1610612761,Toronto Raptors,6383,2859,1041,6759,1.0589064703117657,0.52945323515588283
2023,1610612754,Indiana Pacers,7345,3444,1112,8000,1.0891763104152485,0.54458815520762427
2023,1610612739,Cleveland Cavaliers,6984,3408,950,7766,1.1119702176403208,0.55598510882016039
2017,1610612747,Los Angeles Lakers,7140,3216,722,7154,1.0019607843137255,0.50098039215686274
2008,1610612748,Miami Heat,6336,2808,491,6107,0.9638573232323232,0.4819286616161616
2024,1610612752,New York Knicks,7272,3385,1083,7853,1.079895489548955,0.53994774477447749
2020,1610612763,Memphis Grizzlies,6634,3106,798,7010,1.0566777208320772,0.52833886041603861
2008,1610612764,Washington Wizards,6695,2986,575,6547,0.97789395070948471,0.48894697535474235
2018,1610612756,Phoenix Suns,7141,3153,763,7069,0.98991737851841477,0.49495868925920739
2009,1610612750,Minnesota Timberwolves,6766,2986,543,6515,0.96290274903931417,0.48145137451965708
2014,1610612761,Toronto Raptors,6716,2992,713,6697,0.997170935080405,0.4985854675402025
2023,1610612752,New York Knicks,7328,3444,1037,7925,1.0814683406113537,0.54073417030567683
2023,1610612749,Milwaukee Bucks,7411,3504,1217,8225,1.1098367291863447,0.55491836459317234
2014,1610612758,Sacramento Kings,6766,3026,491,6543,0.96704108779190068,0.48352054389595034
2008,1610612755,Philadelphia 76ers,6648,3056,302,6414,0.96480144404332135,0.48240072202166068
2004,1610612741,Chicago Bulls,6753,2798,429,6025,0.89219606100992155,0.44609803050496077
2015,1610612739,Cleveland Cavaliers,6738,3088,825,7001,1.0390323538141881,0.51951617690709406
2016,1610612754,Indiana Pacers,6970,3135,656,6926,0.99368723098995693,0.49684361549497846
2011,1610612753,Orlando Magic,6409,2956,770,6682,1.0425963488843812,0.52129817444219062
2019,1610612748,Miami Heat,7218,3251,928,7430,1.029371016902189,0.51468550845109451
2017,1610612751,Brooklyn Nets,6985,3101,876,7078,1.0133142448103079,0.50665712240515393
2015,1610612745,Houston Rockets,6831,3032,933,6997,1.0243009808227199,0.51215049041135996
2012,1610612748,Miami Heat,5212,2446,370,5262,1.0095932463545665,0.50479662317728324
2015,1610612751,Brooklyn Nets,6804,3069,541,6679,0.9816284538506761,0.49081422692533805
2014,1610612751,Brooklyn Nets,6390,2930,708,6568,1.0278560250391235,0.51392801251956177
2022,1610612756,Phoenix Suns,7389,3581,951,8113,1.0979834889700906,0.54899174448504529
2005,1610612764,Washington Wizards,6794,2966,514,6446,0.94877833382396237,0.47438916691198119
2009,1610612762,Utah Jazz,6623,3143,392,6678,1.0083043937792542,0.50415219688962709
2019,1610612738,Boston Celtics,7423,3451,1032,7934,1.068840091607167,0.53442004580358349
2024,1610612759,San Antonio Spurs,7436,3438,1036,7912,1.0640129101667564,0.53200645508337818
2012,1610612738,Boston Celtics,5086,2341,363,5045,0.99193865513173418,0.49596932756586709
